,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,projectrank,show,projectrank_placing,trending,labels,updated_github_id
23,graphql-request,prisma-labs/graphql-request,,graphql-clients,https://github.com/jasonkuhrt/graphql-request,https://github.com/jasonkuhrt/graphql-request,MIT,2017-05-10 20:05:07,2024-05-16 15:28:10,2024-05-16 15:26:58,597,188.0,294.0,32,492.0,13.0,316.0,5691.0,2024-05-11 04:34:40,7.0.1,,,32.0,Minimal GraphQL client.,234626.0,234626.0,89.0,,,31,True,3,,"['vue2', 'vue3']",jasonkuhrt/graphql-request
24,Headless UI,tailwindlabs/headlessui,,components,https://github.com/tailwindlabs/headlessui,https://github.com/tailwindlabs/headlessui,MIT,2020-09-16 09:53:09,2024-05-13 12:22:33,2024-05-13 12:22:33,776,77.0,1007.0,168,673.0,30.0,1139.0,24531.0,2024-05-08 10:55:24,@headlessui/vue@v1.7.22,,,100.0,"Completely unstyled, fully accessible UI components, designed to integrate beautifully with Tailwind CSS.",3435.0,3435.0,59.0,,,30,True,1,,['tailwind'],
25,vue-devtools,vuejs/devtools,,dev-tools,https://github.com/vuejs/devtools,https://github.com/vuejs/devtools,MIT,2014-09-29 03:52:07,2024-04-14 12:34:37,2024-04-14 12:34:37,2139,3.0,4097.0,515,442.0,461.0,1130.0,24394.0,2024-02-15 18:10:48,6.6.1,103048.0,1171.0,87.0,Browser devtools extension for debugging Vue.js applications.,3.0,3.0,142.0,,,30,True,1,-1.0,[],
26,vue-resource,pagekit/vue-resource,,http-clients,https://github.com/pagekit/vue-resource,https://github.com/pagekit/vue-resource,MIT,2014-02-07 23:07:56,2022-12-08 21:37:18,2021-06-14 12:02:28,483,,1592.0,259,142.0,83.0,453.0,10105.0,2021-06-14 12:05:55,1.5.3,,,53.0,The HTTP client for Vue.js.,131299.0,131299.0,26.0,,,30,True,3,,['vue2'],
27,mdb-ui-kit,mdbootstrap/mdb-ui-kit,,dnd,https://github.com/mdbootstrap/mdb-ui-kit,https://github.com/mdbootstrap/mdb-ui-kit,,2014-08-18 11:54:00,2024-03-11 11:19:56,2024-03-11 11:17:27,1474,1.0,3461.0,776,339.0,15.0,1172.0,24047.0,2024-03-11 11:46:21,7.2.0,,,35.0,Bootstrap 5 & Material Design UI KIT.,12088.0,12088.0,119.0,,,29,True,1,,['vue3'],
28,formkit,formkit/formkit,,forms,https://github.com/formkit/formkit,https://github.com/formkit/formkit,MIT,2021-06-02 21:35:19,2024-05-14 17:48:06,2024-05-14 17:48:03,2008,102.0,154.0,31,283.0,76.0,838.0,4072.0,2024-05-14 17:36:28,1.6.3,,,44.0,Vue Forms Supercharged.,89.0,89.0,59.0,,,27,True,2,,,
29,vuelidate,vuelidate/vuelidate,,forms,https://github.com/vuelidate/vuelidate,https://github.com/vuelidate/vuelidate,MIT,2016-11-05 14:30:37,2024-04-22 12:15:25,2023-12-22 13:21:42,670,,498.0,80,334.0,187.0,724.0,6821.0,2023-03-26 08:01:51,@vuelidate/core@2.0.1,,,49.0,"Simple, lightweight model-based validation for Vue.js.",47373.0,47373.0,93.0,,,26,True,3,,,
30,Oruga UI,oruga-ui/oruga,@oruga-ui/oruga,ui-frameworks,https://github.com/oruga-ui/oruga,https://github.com/oruga-ui/oruga,MIT,2020-06-02 07:52:58,2024-05-15 09:37:38,2024-05-01 09:36:27,1619,91.0,173.0,11,529.0,46.0,346.0,1095.0,2024-05-01 08:18:06,0.8.9,,5720.0,40.0,Oruga is a lightweight library of UI components without any CSS framework dependency.,3.0,3.0,86.0,https://www.npmjs.com/package/@oruga-ui/oruga,5720.0,26,True,3,,"['vue3', 'typescript']",
31,Semantic UI Integration,Semantic-UI-Vue/Semantic-UI-Vue,semantic-ui-vue,ui-frameworks,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,MIT,2017-08-25 10:11:54,2022-12-10 20:30:18,2020-06-03 23:01:02,562,,147.0,34,271.0,106.0,145.0,935.0,2020-06-03 22:45:05,0.11.0,,5231.0,29.0,Semantic UI integration for Vue.,1840.0,1840.0,71.0,https://www.npmjs.com/package/semantic-ui-vue,5231.0,24,True,3,,"['vue3', 'javascript']",
32,CoreUI Components,coreui/coreui-vue,,components,https://github.com/coreui/coreui-vue,https://github.com/coreui/coreui-vue,MIT,2018-02-26 18:15:21,2024-03-28 15:51:11,2024-03-28 15:49:47,590,19.0,132.0,17,47.0,2.0,217.0,592.0,2024-03-28 15:51:11,5.0.0,,,98.0,Bootstrap 5 based Vue 3 components and directives. CoreUI for Vue.js replaces and extends the Bootstrap 5 javascript...,3526.0,3526.0,7.0,,,23,True,2,,['coreui'],
33,Appolo Client integration,vuejs/apollo,,graphql-integrations,https://github.com/vuejs/apollo,https://github.com/vuejs/apollo,MIT,2016-09-18 18:44:06,2024-05-09 01:10:07,2024-03-29 09:03:06,1020,5.0,498.0,109,460.0,254.0,668.0,5986.0,2024-03-08 10:56:30,4.0.2,,,91.0,Apollo/GraphQL integration for VueJS.,3.0,3.0,137.0,,,22,True,1,,"['vue2', 'vue3', 'appolo']",
34,vuex-orm,vuex-orm/vuex-orm,,state-management,https://github.com/vuex-orm/vuex-orm,https://github.com/vuex-orm/vuex-orm,MIT,2017-06-16 18:05:37,2022-12-10 17:16:42,2021-07-03 12:24:14,1334,,165.0,38,257.0,128.0,415.0,2361.0,2021-05-07 13:12:13,0.36.4,,,100.0,The Vuex plugin to enable Object-Relational Mapping access to the Vuex Store.,34.0,34.0,62.0,,,22,True,2,,['vue3'],
35,graphql-hooks,nearform/graphql-hooks,,graphql-clients,https://github.com/nearform/graphql-hooks,https://github.com/nearform/graphql-hooks,,2019-02-08 08:29:00,2024-05-13 21:33:09,2024-04-11 15:47:25,782,6.0,89.0,115,929.0,,241.0,1875.0,2024-04-11 15:47:39,typescript-example@4.0.1,,,100.0,Minimal hooks-first GraphQL client.,1124.0,1124.0,89.0,,,22,True,3,,"['vue2', 'vue3']",
36,flowbite-vue,themesberg/flowbite-vue,,components,https://github.com/themesberg/flowbite-vue,https://github.com/themesberg/flowbite-vue,MIT,2022-06-02 08:04:40,2024-04-29 12:37:49,2024-04-29 12:29:03,458,21.0,105.0,12,134.0,38.0,94.0,663.0,2024-04-30 17:41:31,0.1.4,,,1.0,Official Vue 3 components built for Flowbite and Tailwind CSS.,1758.0,1758.0,40.0,,,22,True,3,,['tailwind'],
37,coreui-free-vue-admin-template,coreui/coreui-free-vue-admin-template,,admin-dashboards,https://github.com/coreui/coreui-free-vue-admin-template,https://github.com/coreui/coreui-free-vue-admin-template,MIT,2017-08-15 09:29:16,2024-05-10 06:56:01,2024-05-01 13:52:05,501,7.0,940.0,122,83.0,2.0,200.0,3236.0,2024-03-28 16:08:51,5.0.0,,,62.0,Open source admin template based on Bootstrap 5 and Vue 3.,,,11.0,,,20,True,1,,"['vue3', 'bootstrap5', 'coreui']",
38,vue-formulate,wearebraid/vue-formulate,,forms,https://github.com/wearebraid/vue-formulate,https://github.com/wearebraid/vue-formulate,MIT,2019-10-07 14:13:30,2023-05-06 23:19:06,2022-04-13 12:37:08,558,,243.0,30,126.0,113.0,339.0,2235.0,,,,,,The easiest way to build forms with Vue.,44.0,44.0,18.0,,,19,True,3,,,
39,Genql,remorses/genql,,graphql-clients,https://github.com/remorses/genql,https://github.com/remorses/genql,MIT,2020-05-14 20:39:29,2024-03-30 15:58:32,2024-03-30 15:57:39,1271,10.0,32.0,8,40.0,19.0,115.0,851.0,2024-03-30 15:58:33,@genql/cli@6.3.3,,,1.0,Type safe TypeScript client for any GraphQL API.,10.0,10.0,12.0,,,18,True,3,,"['vue2', 'vue3']",
40,villus,logaretm/villus,,graphql-clients,https://github.com/logaretm/villus,https://github.com/logaretm/villus,MIT,2019-12-22 20:52:31,2024-03-01 12:33:56,2024-03-01 12:33:28,636,2.0,31.0,9,72.0,15.0,124.0,790.0,2024-03-01 12:40:46,3.4.0,,,67.0,A tiny and fast GraphQL client for Vue.js.,15.0,15.0,22.0,,,18,True,3,,"['vue2', 'vue3']",
41,vuex-orm-next,vuex-orm/vuex-orm-next,,state-management,https://github.com/vuex-orm/vuex-orm-next,https://github.com/vuex-orm/vuex-orm-next,MIT,2020-04-10 03:54:39,2023-03-04 11:20:52,2021-12-03 07:26:44,214,,11.0,11,102.0,11.0,22.0,192.0,2021-11-19 00:31:46,1.0.0-draft.16,,,17.0,The next iteration of Vuex ORM.,1008.0,1008.0,9.0,,,18,True,2,,['vue3'],
42,admin-one-vue-tailwind,justboil/admin-one-vue-tailwind,,admin-dashboards,https://github.com/justboil/admin-one-vue-tailwind,https://github.com/justboil/admin-one-vue-tailwind,MIT,2021-06-14 13:48:31,2024-04-26 21:17:43,2023-10-31 04:41:59,440,,365.0,31,18.0,22.0,17.0,1996.0,2023-04-06 16:31:39,3.2.0,,,13.0,Free Vue.js 3.x Tailwind 3.x admin dashboard template with dark mode. Vite builds. Pinia state. Laravel integration..,,,3.0,,,17,True,3,,"['vue3', 'tailwind', 'vite', 'pinia']",
43,vue-save-state,spatie/vue-save-state,vue-save-state,state-management,https://github.com/spatie/vue-save-state,https://github.com/spatie/vue-save-state,MIT,2016-10-28 13:06:41,2022-03-21 12:45:21,2022-03-21 12:45:21,58,,23.0,12,11.0,,14.0,242.0,2017-01-19 19:12:25,1.1.0,,1715.0,1.0,A Vue mixin to save the state of a component to local storage.,152.0,152.0,9.0,https://www.npmjs.com/package/vue-save-state,1715.0,17,True,3,,[],
44,vue.draggable.next,SortableJS/vue.draggable.next,,dnd,https://github.com/SortableJS/vue.draggable.next,https://github.com/SortableJS/vue.draggable.next,MIT,2020-11-18 01:28:43,2023-09-27 01:14:21,2021-08-25 03:06:16,641,,482.0,17,28.0,161.0,68.0,3524.0,2020-11-30 17:06:31,4.0.1,,,1.0,Vue 3 compatible drag-and-drop component based on Sortable.js.,,,45.0,,,16,True,2,,['vue3'],
45,vue-dragging,hilongjw/vue-dragging,,dnd,https://github.com/hilongjw/vue-dragging,https://github.com/hilongjw/vue-dragging,MIT,2016-11-16 06:39:22,2018-12-12 14:05:44,2018-12-12 14:05:35,57,,142.0,23,7.0,24.0,4.0,766.0,,,,,,A sortable list directive with Vue.,1282.0,1282.0,10.0,,,16,False,2,,['vue2'],
46,vorms,Mini-ghost/vorms,,forms,https://github.com/Mini-ghost/vorms,https://github.com/Mini-ghost/vorms,MIT,2022-04-27 16:26:30,2024-03-04 01:54:03,2024-03-04 01:53:07,201,7.0,17.0,6,33.0,9.0,10.0,506.0,2023-02-25 09:28:18,1.1.0,,,10.0,Vue Form Validation with Composition API.,52.0,52.0,6.0,,,16,True,3,,,
47,AgnosticUI,AgnosticUI/agnosticui,agnosticui,ui-frameworks,https://github.com/AgnosticUI/agnosticui,https://github.com/AgnosticUI/agnosticui,Apache-2.0,2020-09-07 21:03:08,2023-12-29 12:37:44,2023-01-23 23:36:07,1914,,46.0,5,60.0,38.0,149.0,702.0,,,,,16.0,AgnosticUI is a set of UI primitives that start their lives in clean HTML and CSS. These standards compliant..,,,12.0,https://www.npmjs.com/package/agnosticui,,15,True,3,,['vue3'],
