,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,new_addition,trending
10,mdb-ui-kit,mdbootstrap/mdb-ui-kit,['vue3'],dnd,https://github.com/mdbootstrap/mdb-ui-kit,https://github.com/mdbootstrap/mdb-ui-kit,MIT,2014-08-18 11:54:00,2022-11-29 12:15:22,2022-11-29 12:15:21,1462,6.0,3382,785,331.0,4.0,1153.0,22864,2022-11-21 08:27:13,6.0.1,,,25.0,Bootstrap 5 & Material Design 2.0 UI KIT.,6207.0,6207.0,117.0,32,True,1,,,,,
11,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2022-12-06 18:26:52,2022-12-06 18:26:46,5355,670.0,590,48,730.0,201.0,2432.0,3140,2022-11-18 11:03:21,3.20.0,,,100.0,Next Generation Vue UI Component Library.,8625.0,8625.0,115.0,32,True,2,,,,True,
12,CoreUI,coreui/coreui,['bootstrap5'],css-frameworks,https://github.com/coreui/coreui,https://github.com/coreui/coreui,MIT,2018-03-27 11:09:56,2022-12-06 10:02:34,2022-12-02 19:19:19,22135,11.0,183,26,360.0,2.0,127.0,581,2022-12-02 19:21:04,4.2.4,3161.0,58.0,72.0,Open Source UI Kit built on top of Bootstrap 5 and plain JavaScript without any additional libraries like jQuery.,20842.0,20842.0,1527.0,32,True,3,,,,,
13,Naive UI,tusen-ai/naive-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,MIT,2021-06-04 13:47:28,2022-12-06 12:43:27,2022-12-05 03:51:44,8000,187.0,1204,73,2191.0,247.0,1562.0,11010,,,,,,A Vue 3 Component Library. Fairly Complete. Theme Customizable. Uses TypeScript. Fast.,4896.0,4896.0,216.0,31,True,2,,,,True,
14,URQL,urql-graphql/urql,"['vue2', 'vue3']",graphql-clients,https://github.com/urql-graphql/urql,https://github.com/urql-graphql/urql,MIT,2018-01-24 01:44:42,2022-12-06 18:40:47,2022-12-06 16:09:54,2339,46.0,371,101,1142.0,27.0,759.0,7637,2022-11-11 17:44:05,@urql/exchange-graphcache@5.0.5,,,100.0,The highly customizable and versatile GraphQL client with which you add on features like normalized caching as you grow.,21625.0,21625.0,207.0,31,True,2,,,,,
15,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2022-11-29 12:21:22,2022-11-29 12:21:22,2115,31.0,797,41,987.0,30.0,599.0,2567,2022-10-24 08:04:24,4.1.6,,2118483.0,51.0,The official router for Vue.js.,,,167.0,30,True,3,router,https://www.npmjs.com/package/router,2118483.0,,
16,graphql-request,prisma-labs/graphql-request,"['vue2', 'vue3']",graphql-clients,https://github.com/prisma-labs/graphql-request,https://github.com/prisma-labs/graphql-request,MIT,2017-05-10 20:05:07,2022-11-18 17:15:43,2022-11-18 17:13:52,258,11.0,259,31,191.0,128.0,92.0,5015,2022-08-27 13:47:06,5.0.0,,,27.0,Minimal GraphQL client supporting Node and browsers for scripts or simple apps.,156000.0,156000.0,74.0,29,True,3,,,,,
17,Vuestic UI,epicmaxco/vuestic-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/epicmaxco/vuestic-ui,https://github.com/epicmaxco/vuestic-ui,MIT,2019-08-03 11:58:26,2022-12-06 14:09:27,2022-12-06 14:09:27,2646,185.0,201,23,1135.0,302.0,1288.0,1947,2022-11-29 08:50:10,1.5.2,,,21.0,Free and Open Source UI Library for Vue 3.,693.0,693.0,84.0,29,True,3,,,,True,
18,Amplify UI,aws-amplify/amplify-ui,['vue3'],ui-frameworks,https://github.com/aws-amplify/amplify-ui,https://github.com/aws-amplify/amplify-ui,Apache-2.0,2021-03-25 19:11:52,2022-12-06 21:00:49,2022-12-06 18:37:18,1808,251.0,138,55,2351.0,125.0,579.0,560,2022-11-30 20:16:01,@aws-amplify/ui-react@4.1.0,,,100.0,"Amplify UI is a collection of accessible, themeable, performant React (and more!) components that can connect directly..",33750.0,33750.0,65.0,29,True,3,,,,True,
19,Headless UI,tailwindlabs/headlessui,['tailwind'],components,https://github.com/tailwindlabs/headlessui,https://github.com/tailwindlabs/headlessui,MIT,2020-09-16 09:53:09,2022-12-06 19:16:00,2022-12-06 16:22:27,489,40.0,711,164,445.0,11.0,734.0,18014,2022-12-06 08:03:24,@headlessui/tailwindcss@v0.1.2,,,61.0,"Completely unstyled, fully accessible UI components, designed to integrate beautifully with Tailwind CSS.",585.0,585.0,38.0,27,True,1,,,,,-1.0
20,Oruga UI,oruga-ui/oruga,"['vue3', 'typescript']",ui-frameworks,https://github.com/oruga-ui/oruga,https://github.com/oruga-ui/oruga,MIT,2020-06-02 07:52:58,2022-12-06 17:47:05,2022-12-06 12:57:39,1321,54.0,134,15,230.0,33.0,192.0,875,2022-11-14 21:47:10,0.5.9,,,27.0,Oruga is a lightweight library of UI components without CSS framework dependency.,97.0,97.0,57.0,24,True,3,,,,True,
21,Appolo Client integration,vuejs/apollo,"['vue2', 'vue3', 'appolo']",graphql-integrations,https://github.com/vuejs/apollo,https://github.com/vuejs/apollo,MIT,2016-09-18 18:44:06,2022-11-28 18:33:58,2022-10-05 14:30:15,926,4.0,457,112,431.0,228.0,622.0,5744,2021-11-18 13:28:20,3.1.0,,,77.0,Apollo/GraphQL integration for VueJS.,60.0,60.0,123.0,23,True,1,,,,,
