,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,new_addition
32,coreui-free-vue-admin-template,coreui/coreui-free-vue-admin-template,"['vue3', 'bootstrap5', 'coreui']",admin-dashboards,https://github.com/coreui/coreui-free-vue-admin-template,https://github.com/coreui/coreui-free-vue-admin-template,,2017-08-15 09:29:16,2022-12-06 16:35:34,2022-11-25 13:52:55,434.0,5.0,884.0,123.0,79.0,1.0,192.0,3103.0,2022-11-25 13:55:14,4.2.0,,,59.0,Open source admin template based on Bootstrap 5 and Vue 3.,,,11.0,18,True,1,,,,,
33,vuex-orm-next,vuex-orm/vuex-orm-next,['vue3'],state-management,https://github.com/vuex-orm/vuex-orm-next,https://github.com/vuex-orm/vuex-orm-next,MIT,2020-04-10 03:54:39,2022-12-12 10:45:21,2021-12-03 07:26:44,214.0,,14.0,11.0,100.0,12.0,20.0,187.0,2021-11-19 00:31:46,1.0.0-draft.16,,,17.0,The next iteration of Vuex ORM.,874.0,874.0,9.0,18,True,2,,,,,
34,Genql,remorses/genql,"['vue2', 'vue3']",graphql-clients,https://github.com/remorses/genql,https://github.com/remorses/genql,MIT,2020-05-14 20:39:29,2022-11-30 22:58:42,2022-11-30 22:58:37,1055.0,67.0,15.0,6.0,18.0,28.0,51.0,525.0,,,,,,Type safe TypeScript client for any GraphQL API.,168.0,168.0,7.0,17,True,3,,,,,
35,harlem,andrewcourtice/harlem,['vue3'],state-management,https://github.com/andrewcourtice/harlem,https://github.com/andrewcourtice/harlem,MIT,2020-10-01 23:52:49,2022-12-18 22:35:45,2022-12-18 22:33:32,472.0,13.0,15.0,4.0,48.0,2.0,12.0,464.0,2022-12-12 01:12:08,3.0.2,,586.0,54.0,Powerfully simple global state management for Vue 3.,1.0,1.0,9.0,17,True,3,harlem,https://www.npmjs.com/package/harlem,586.0,,
36,vue-save-state,spatie/vue-save-state,[],state-management,https://github.com/spatie/vue-save-state,https://github.com/spatie/vue-save-state,MIT,2016-10-28 13:06:41,2022-03-21 12:45:21,2022-03-21 12:45:21,58.0,,23.0,12.0,11.0,1.0,13.0,243.0,2017-01-19 19:12:25,1.1.0,,2571.0,1.0,A Vue mixin to save the state of a component to local storage.,140.0,140.0,9.0,17,True,3,vue-save-state,https://www.npmjs.com/package/vue-save-state,2571.0,,
37,Vuex ORM integration,vuex-orm/plugin-graphql,"['vue2', 'vue3', 'vuex-orm']",graphql-integrations,https://github.com/vuex-orm/plugin-graphql,https://github.com/vuex-orm/plugin-graphql,MIT,2018-01-30 15:59:22,2022-12-14 15:16:51,2020-11-18 15:11:03,355.0,,52.0,10.0,93.0,44.0,71.0,229.0,2018-06-07 12:43:48,0.0.41,,,65.0,Vuex ORM persistence plugin to sync the store against a GraphQL API.,29.0,29.0,18.0,17,True,3,,,,,
38,vue.draggable.next,SortableJS/vue.draggable.next,['vue3'],dnd,https://github.com/SortableJS/vue.draggable.next,https://github.com/SortableJS/vue.draggable.next,MIT,2020-11-18 01:28:43,2022-09-15 14:29:53,2021-08-25 03:06:16,641.0,,364.0,9.0,23.0,120.0,56.0,2036.0,2020-11-30 17:06:31,4.0.1,,,1.0,Vue 3 compatible drag-and-drop component based on Sortable.js.,,,45.0,16,True,2,,,,,
39,Equal UI,quatrochan/Equal,"['vue3', 'typescript']",ui-frameworks,https://github.com/quatrochan/Equal,https://github.com/quatrochan/Equal,MIT,2019-10-15 14:40:47,2021-11-04 19:50:05,2021-11-04 19:48:39,75.0,,56.0,17.0,205.0,18.0,44.0,867.0,,,,692.0,,Equal is a Vue 3 UI library based on TypeScript.,134.0,134.0,10.0,16,True,3,equal-vue,https://www.npmjs.com/package/equal-vue,692.0,,
40,vue-dragging,hilongjw/vue-dragging,['vue2'],dnd,https://github.com/hilongjw/vue-dragging,https://github.com/hilongjw/vue-dragging,MIT,2016-11-16 06:39:22,2018-12-12 14:05:44,2018-12-12 14:05:35,57.0,,142.0,22.0,7.0,24.0,4.0,759.0,,,,,,A sortable list directive with Vue.,1134.0,1134.0,10.0,16,True,2,,,,,
41,vue-route,ayamflow/vue-route,['vue2'],routing,https://github.com/ayamflow/vue-route,https://github.com/ayamflow/vue-route,,2014-11-05 08:42:52,2016-11-04 21:00:45,2016-11-04 21:00:45,66.0,,8.0,9.0,9.0,2.0,17.0,75.0,2015-06-26 16:49:13,.1.5.0,,1873.0,9.0,"Routing directive for Vue.js, inspired by ng-view.",985.0,985.0,4.0,15,False,3,vue-route,https://www.npmjs.com/package/vue-route,1873.0,,
