,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id,new_addition
10,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2023-08-18 16:43:10,2023-08-18 16:42:17,1741.0,8.0,3866.0,598.0,1129.0,205.0,2279.0,47460.0,2022-05-08 13:50:59,0.9.4,720692.0,10295.0,17.0,Modern CSS framework based on Flexbox.,233794.0,233794.0,401.0,38,True,3,,,,,,
11,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2023-08-26 11:55:01,2023-08-24 20:25:54,11961.0,159.0,2537.0,294.0,5893.0,460.0,4332.0,18901.0,2023-08-10 20:26:57,3.8.1,,,66.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",173308.0,173308.0,835.0,38,True,1,,,,,,
12,Naive UI,tusen-ai/naive-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,MIT,2021-06-04 13:47:28,2023-08-27 10:32:51,2023-08-23 08:45:31,8268.0,90.0,1469.0,87.0,2603.0,522.0,1844.0,13512.0,,,,91985.0,,A Vue 3 Component Library. Fairly Complete. Theme Customizable. Uses TypeScript. Fast.,21521.0,21521.0,262.0,38,True,2,naive-ui,https://www.npmjs.com/package/naive-ui,91985.0,,,
13,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2023-08-26 07:25:07,2023-08-24 10:29:52,7147.0,838.0,773.0,57.0,933.0,406.0,2958.0,4250.0,2023-08-23 13:29:01,3.32.2,,407888.0,100.0,Next Generation Vue UI Component Library.,13559.0,13559.0,162.0,38,True,2,primevue,https://www.npmjs.com/package/primevue,407888.0,-1.0,,
14,vee-validate,logaretm/vee-validate,,forms,https://github.com/logaretm/vee-validate,https://github.com/logaretm/vee-validate,MIT,2016-07-30 01:10:44,2023-08-26 21:30:38,2023-08-26 21:30:09,4632.0,122.0,1173.0,117.0,860.0,46.0,3109.0,10089.0,2023-08-23 00:31:23,4.11.3,,,100.0,Painless Vue forms.,69232.0,69232.0,356.0,35,True,1,,,,,,
15,Amplify UI,aws-amplify/amplify-ui,['vue3'],ui-frameworks,https://github.com/aws-amplify/amplify-ui,https://github.com/aws-amplify/amplify-ui,Apache-2.0,2021-03-25 19:11:52,2023-08-25 20:23:30,2023-08-25 19:52:02,2406.0,203.0,207.0,58.0,3325.0,125.0,789.0,698.0,2023-08-22 20:38:32,@aws-amplify/ui-react-liveness@2.0.5,,85084.0,100.0,"Amplify UI is a collection of accessible, themeable, performant React (and more!) components that can connect directly..",42308.0,42308.0,102.0,35,True,3,@aws-amplify/ui-vue,https://www.npmjs.com/package/@aws-amplify/ui-vue,85084.0,,,
16,Vuestic UI,epicmaxco/vuestic-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/epicmaxco/vuestic-ui,https://github.com/epicmaxco/vuestic-ui,MIT,2019-08-03 11:58:26,2023-08-26 15:53:19,2023-08-26 15:48:35,3139.0,163.0,260.0,30.0,1496.0,359.0,1750.0,2993.0,2023-08-25 20:07:55,1.7.6,,23845.0,36.0,Free and Open Source UI Library for Vue 3.,1074.0,1074.0,101.0,34,True,3,vuestic-ui,https://www.npmjs.com/package/vuestic-ui,23845.0,,,
17,vue-router,vuejs/vue-router,['vue2'],routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2023-07-20 08:14:03,2023-07-20 08:13:55,1453.0,2.0,5047.0,515.0,959.0,64.0,2768.0,19001.0,2022-09-06 10:10:34,3.6.5,,10347067.0,90.0,The official router for Vue 2.,2.0,2.0,290.0,32,True,1,vue-router,https://www.npmjs.com/package/vue-router,10347067.0,,,
18,URQL,urql-graphql/urql,"['vue2', 'vue3']",graphql-clients,https://github.com/urql-graphql/urql,https://github.com/urql-graphql/urql,MIT,2018-01-24 01:44:42,2023-08-24 17:09:37,2023-08-15 10:43:03,2575.0,65.0,408.0,93.0,1368.0,16.0,870.0,8129.0,2023-08-15 10:44:15,@urql/exchange-graphcache@6.3.2,,,100.0,The highly customizable and versatile GraphQL client with which you add on features like normalized caching as you grow.,26785.0,26785.0,230.0,32,True,2,,,,,,
19,CoreUI,coreui/coreui,['bootstrap5'],css-frameworks,https://github.com/coreui/coreui,https://github.com/coreui/coreui,MIT,2018-03-27 11:09:56,2023-08-26 14:20:53,2023-08-02 16:22:51,22177.0,33.0,185.0,24.0,479.0,2.0,133.0,665.0,2023-08-02 14:24:36,4.3.0,3603.0,58.0,76.0,Open Source UI Kit built on top of Bootstrap 5 and plain JavaScript without any additional libraries like jQuery.,26678.0,26678.0,1527.0,32,True,3,,,,,,
20,mdb-ui-kit,mdbootstrap/mdb-ui-kit,['vue3'],dnd,https://github.com/mdbootstrap/mdb-ui-kit,https://github.com/mdbootstrap/mdb-ui-kit,MIT,2014-08-18 11:54:00,2023-07-31 11:43:05,2023-07-31 11:42:50,1468.0,2.0,3431.0,785.0,338.0,5.0,1166.0,23613.0,2023-07-31 11:45:46,6.4.1,,,31.0,Bootstrap 5 & Material Design UI KIT.,9760.0,9760.0,118.0,31,True,1,,,,,,
21,Relay,facebook/relay,"['vue2', 'vue3']",graphql-clients,https://github.com/facebook/relay,https://github.com/facebook/relay,MIT,2015-08-10 22:09:16,2023-08-27 11:04:38,2023-08-27 09:51:50,9038.0,110.0,1711.0,338.0,2281.0,450.0,1657.0,17903.0,2023-03-08 22:16:55,15.0.0,,,79.0,Relay is a JavaScript framework for building data-driven React applications.,2.0,2.0,811.0,30,True,2,,,,,,
22,vue-resource,pagekit/vue-resource,['vue2'],http-clients,https://github.com/pagekit/vue-resource,https://github.com/pagekit/vue-resource,MIT,2014-02-07 23:07:56,2022-12-08 21:37:18,2021-06-14 12:02:28,483.0,,1612.0,261.0,142.0,83.0,453.0,10127.0,2021-06-14 12:05:55,1.5.3,,,53.0,The HTTP client for Vue.js.,129214.0,129214.0,26.0,30,True,3,,,,,,
23,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2023-08-27 08:14:57,2023-08-26 08:57:43,2240.0,34.0,997.0,51.0,1079.0,29.0,743.0,3192.0,2023-07-06 16:34:15,4.2.4,,2705262.0,56.0,The official router for Vue.js.,2.0,2.0,191.0,30,True,3,router,https://www.npmjs.com/package/router,2705262.0,,,
24,graphql-request,prisma-labs/graphql-request,"['vue2', 'vue3']",graphql-clients,https://github.com/jasonkuhrt/graphql-request,https://github.com/jasonkuhrt/graphql-request,MIT,2017-05-10 20:05:07,2023-08-26 19:24:17,2023-06-15 16:07:47,337.0,6.0,288.0,30.0,278.0,116.0,161.0,5419.0,2023-05-23 16:56:08,6.1.0,,,30.0,Minimal GraphQL client supporting Node and browsers for scripts or simple apps.,203005.0,203005.0,83.0,29,True,3,,,,,jasonkuhrt/graphql-request,
25,vue-devtools,vuejs/devtools,[],dev-tools,https://github.com/vuejs/devtools,https://github.com/vuejs/devtools,MIT,2014-09-29 03:52:07,2023-08-17 15:36:35,2023-04-16 13:45:53,2082.0,,4028.0,520.0,431.0,443.0,1106.0,23872.0,2023-01-20 15:41:33,6.5.0,100736.0,1275.0,84.0,Browser devtools extension for debugging Vue.js applications.,2.0,2.0,132.0,28,True,1,,,,,,
