,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,new_addition,trending,updated_github_id
36,vue.draggable.next,SortableJS/vue.draggable.next,['vue3'],dnd,https://github.com/SortableJS/vue.draggable.next,https://github.com/SortableJS/vue.draggable.next,MIT,2020-11-18 01:28:43,2023-01-27 15:01:16,2021-08-25 03:06:16,641.0,,371.0,10.0,24.0,124.0,57.0,2122.0,2020-11-30 17:06:31,4.0.1,,,1.0,Vue 3 compatible drag-and-drop component based on Sortable.js.,,,45.0,17,True,2,,,,,1.0,
37,Genql,remorses/genql,"['vue2', 'vue3']",graphql-clients,https://github.com/remorses/genql,https://github.com/remorses/genql,MIT,2020-05-14 20:39:29,2023-01-13 16:50:43,2023-01-13 16:50:43,1057.0,69.0,16.0,6.0,19.0,29.0,51.0,533.0,,,,,,Type safe TypeScript client for any GraphQL API.,176.0,176.0,8.0,17,True,3,,,,,,
38,vue-save-state,spatie/vue-save-state,[],state-management,https://github.com/spatie/vue-save-state,https://github.com/spatie/vue-save-state,MIT,2016-10-28 13:06:41,2022-03-21 12:45:21,2022-03-21 12:45:21,58.0,,23.0,12.0,11.0,1.0,13.0,243.0,2017-01-19 19:12:25,1.1.0,,2780.0,1.0,A Vue mixin to save the state of a component to local storage.,141.0,141.0,9.0,17,True,3,vue-save-state,https://www.npmjs.com/package/vue-save-state,2780.0,,,
39,Vuex ORM integration,vuex-orm/plugin-graphql,"['vue2', 'vue3', 'vuex-orm']",graphql-integrations,https://github.com/vuex-orm/plugin-graphql,https://github.com/vuex-orm/plugin-graphql,MIT,2018-01-30 15:59:22,2022-12-14 15:16:51,2020-11-18 15:11:03,355.0,,52.0,10.0,93.0,44.0,71.0,229.0,2018-06-07 12:43:48,0.0.41,,,65.0,Vuex ORM persistence plugin to sync the store against a GraphQL API.,29.0,29.0,18.0,17,True,3,,,,,,
40,vue-dragging,hilongjw/vue-dragging,['vue2'],dnd,https://github.com/hilongjw/vue-dragging,https://github.com/hilongjw/vue-dragging,MIT,2016-11-16 06:39:22,2018-12-12 14:05:44,2018-12-12 14:05:35,57.0,,143.0,22.0,7.0,24.0,4.0,760.0,,,,,,A sortable list directive with Vue.,1150.0,1150.0,10.0,16,True,3,,,,,,
41,AgnosticUI,AgnosticUI/agnosticui,['vue3'],ui-frameworks,https://github.com/AgnosticUI/agnosticui,https://github.com/AgnosticUI/agnosticui,Apache-2.0,2020-09-07 21:03:08,2023-01-23 23:36:10,2023-01-23 23:36:07,1914.0,23.0,32.0,5.0,55.0,32.0,148.0,574.0,,,,,16.0,AgnosticUI is a set of UI primitives that start their lives in clean HTML and CSS. These standards compliant..,,,12.0,16,True,3,agnosticui,https://www.npmjs.com/package/agnosticui,,,,
42,harlem,andrewcourtice/harlem,['vue3'],state-management,https://github.com/andrewcourtice/harlem,https://github.com/andrewcourtice/harlem,MIT,2020-10-01 23:52:49,2022-12-18 22:35:45,2022-12-18 22:33:32,472.0,13.0,16.0,4.0,48.0,3.0,12.0,473.0,2022-12-12 01:12:08,3.0.2,,60.0,54.0,Powerfully simple global state management for Vue 3.,2.0,2.0,9.0,16,True,3,harlem,https://www.npmjs.com/package/harlem,60.0,,,
43,admin-one-vue-tailwind,justboil/admin-one-vue-tailwind,"['vue3', 'tailwind', 'vite', 'pinia']",admin-dashboards,https://github.com/justboil/admin-one-vue-tailwind,https://github.com/justboil/admin-one-vue-tailwind,MIT,2021-06-14 13:48:31,2022-12-05 14:01:29,2022-11-29 14:48:48,412.0,2.0,196.0,21.0,3.0,13.0,12.0,1094.0,2022-12-05 08:11:22,3.1.0,,,12.0,Free Vue.js 3.x Tailwind 3.x admin dashboard template with dark mode. Vite builds. Pinia state. Laravel integration..,,,2.0,15,True,3,,,,,,
44,vue-route,ayamflow/vue-route,['vue2'],routing,https://github.com/ayamflow/vue-route,https://github.com/ayamflow/vue-route,,2014-11-05 08:42:52,2016-11-04 21:00:45,2016-11-04 21:00:45,66.0,,8.0,9.0,9.0,2.0,17.0,75.0,2015-06-26 16:49:13,.1.5.0,,1690.0,9.0,"Routing directive for Vue.js, inspired by ng-view.",1006.0,1006.0,4.0,15,False,3,vue-route,https://www.npmjs.com/package/vue-route,1690.0,,,
45,vue-js-grid,euvl/vue-js-grid,['vue2'],dnd,https://github.com/euvl/vue-js-grid,https://github.com/euvl/vue-js-grid,MIT,2017-09-21 14:51:06,2022-08-18 01:13:29,2020-05-17 06:21:53,48.0,,109.0,23.0,15.0,16.0,14.0,935.0,,,,,,"Vue.js 2.x responsive grid system with smooth sorting, drag-n-drop and reordering.",149.0,149.0,8.0,14,True,3,,,,,,
